,gameDate
71,2025-10-21
72,2025-10-21
73,2025-10-22
74,2025-10-22
75,2025-10-22
76,2025-10-22
77,2025-10-22
78,2025-10-22
79,2025-10-22
80,2025-10-22
81,2025-10-22
82,2025-10-22
83,2025-10-22
84,2025-10-22
85,2025-10-23
86,2025-10-23
87,2025-10-24
88,2025-10-24
89,2025-10-24
90,2025-10-24
91,2025-10-24
92,2025-10-24
93,2025-10-24
94,2025-10-24
95,2025-10-24
96,2025-10-24
97,2025-10-24
98,2025-10-24
99,2025-10-25
100,2025-10-25
101,2025-10-25
102,2025-10-25
103,2025-10-25
104,2025-10-26
105,2025-10-26
106,2025-10-26
107,2025-10-26
108,2025-10-26
109,2025-10-26
110,2025-10-26
111,2025-10-26
112,2025-10-26
113,2025-10-27
114,2025-10-27
115,2025-10-27
116,2025-10-27
117,2025-10-27
118,2025-10-27
119,2025-10-27
120,2025-10-27
121,2025-10-27
122,2025-10-27
123,2025-10-27
124,2025-10-28
125,2025-10-28
126,2025-10-28
127,2025-10-28
128,2025-10-28
129,2025-10-29
130,2025-10-29
131,2025-10-29
132,2025-10-29
133,2025-10-29
134,2025-10-29
135,2025-10-29
136,2025-10-29
137,2025-10-29
138,2025-10-29
139,2025-10-30
140,2025-10-30
141,2025-10-30
142,2025-10-30
151,2025-11-01
152,2025-11-01
153,2025-11-01
154,2025-11-01
155,2025-11-01
156,2025-11-01
157,2025-11-02
158,2025-11-02
159,2025-11-02
160,2025-11-02
161,2025-11-02
162,2025-11-02
163,2025-11-02
164,2025-11-02
165,2025-11-03
166,2025-11-03
167,2025-11-03
168,2025-11-03
169,2025-11-03
170,2025-11-03
171,2025-11-03
172,2025-11-03
173,2025-11-03
174,2025-11-04
175,2025-11-04
176,2025-11-04
177,2025-11-04
178,2025-11-04
